Rank,Player,Rank Score,Level,Kills,Season 17 Wins,Winning Kills,Kills As Kill Leader,Damage,Headshots,Matches Played,Times Top 3
1,TTV_WeThePeople1,276692,3539,77428.0,,1393.0,8519.0,,,,1191.0
2,E8 Dezign,262924,1865,,98.0,,,9783593.0,,,
3,FB-AkesGaming,218226,8630,214961.0,,,,57093300.0,210441.0,32352.0,17538.0
4,NAUGHTY,188901,1850,76879.0,,,,12934754.0,,,
5,Twitch EnemyAPEX,183500,1698,,,,,,,,
6,iSangAPEX,171334,1318,51275.0,306.0,,,11695433.0,,,
7,KruegerJacked,162917,998,,20.0,,2424.0,,,,
8,nvmessiahttv,150831,2041,43739.0,,252.0,,11868163.0,,,
9,DanApex,149328,1510,,,,,,,,
10,Qyrro,145022,926,,,,,,,,
11,N8V ProphetVM,141601,975,,,,,,,,
12,Apryze,137205,5214,183560.0,,146.0,,29821379.0,,23833.0,
13,Tortafeet,135505,1642,,93.0,,,,56335.0,,
14,jaded,128152,684,,98.0,,,,,,
15,TicTaks_x,126687,3495,134327.0,,,45018.0,21609999.0,184368.0,,
16,Flinzar,126173,1273,,24.0,,,,,,
17,HoF Samuraisky,125064,1299,,,,,,,,
18,NoJakob,124141,1456,,,,,,,,
19,Woods,123521,662,,67.0,,,,,,
20,TTV-Bear22345,120538,3939,109096.0,,1038.0,14299.0,23301061.0,131800.0,22045.0,2716.0
21,RecalIz,118510,2031,41576.0,16.0,,,12427091.0,40646.0,,2207.0
22,TSM_Albralelie,115700,985,94750.0,,,,16984615.0,,7665.0,
23,Zerbow,115040,737,,,,,,,,
24,RELX0NLY,114640,1550,42429.0,,275.0,2049.0,,39872.0,,1053.0
25,iScxrTTV,114542,3785,89277.0,,,2412.0,22093996.0,45362.0,19249.0,3598.0
26,FaZe Gent,114489,1227,,,,,,,,
27,Naldoox,112393,2772,,,,,,,,
28,nqrks on tiktok,111004,3011,76084.0,339.0,2016.0,,17872528.0,91353.0,13835.0,6385.0
29,Eww,110291,1997,,,610.0,1841.0,,,,3773.0
30,Pouya,110139,2221,45811.0,,,,13610882.0,,,
31,@uncave | Twitch,109820,893,,,,,,,,
32,ImYourWattson,109105,3168,49744.0,,,4186.0,12676617.0,,,
33,oisenpai,107708,907,47645.0,,,,15096662.0,,,
34,Johwny,107592,1351,,,,,9807547.0,34875.0,,
35,Reptar,107337,2291,66888.0,,,4162.0,,,,678.0
36,Adiuvant,107130,1366,74380.0,,,,19069023.0,66490.0,,
37,MrChillaxTTV,106895,4015,114585.0,,,,12933878.0,52387.0,,
38,l-ZuLux-l,105833,3007,84446.0,,,6661.0,19307311.0,120244.0,10166.0,
39,Swaroop629,105520,1795,,,,,17651107.0,102398.0,16979.0,
40,GoatPS,105411,1520,,,,,,,,
41,@ShopzGG,104870,1148,,,,,,,,
42,Rambrro-Twitch,104636,3436,65830.0,,,,,94613.0,,
43,BobbyBognar,104563,2017,55006.0,,,,,,,
44,J.,104522,1026,,,,,,,,
45,Verrahh,104270,1437,,,,,,,,
46,JTolerance,104018,3466,69153.0,,,39015.0,25736580.0,38048.0,20398.0,2686.0
